CustID|CustName|Address1|Address2|Address3|City|Province|PostalCode|Country|Phone1|Phone2|Fax1|Fax2|TaxID|SalesType|CustomerClass|Symbol|Terms|CreditLimit|CreditHold|Remark|InvoiceComment|GroupCode|BranchID|TerritoryID|TerritoryDesc|SalesRepCode|SalesRepName|Active
1031|บริษัท โรงแรมราชดำริ จำกัด (มหาชน)|155 ถนนราชดำริ||แขวงลุมพินี|เขตปทุมวัน|กรุงเทพมหานคร|10330|Thailand||02-250-0759, 251-6127|02-253-9195||0107537002028||HOTEL|_|030|220000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1521|วิทยาลัยดุสิตธานี|1 ซอยแก่นทอง ถนนศรีนครินทร์||แขวงหนองบอน|เขตประเวศ|กรุงเทพมหานคร|10250|Thailand|02-3617811-13 # 204||||0994000174900|HORECA|HOTEL||030|25000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1522|วิทยาลัยดุสิตธานี|382/2 หมู่ 6 ถนนสุขุมวิท||ตำบลนาเกลือ|อำเภอบางละมุง|จังหวัดชลบุรี|20150|Thailand|038-488463-7||||0994000174900|HORECA|GOVERNMENT||030|25000|FALSE||||00001|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1535|บริษัท ไอส์แลนด์ รีสอร์ท โฮเต็ล จำกัด|1129 ถนนไกรสรสิทธิ์||ตำบลเวียง|อำเภอเมืองเชียงราย|จังหวัดเชียงราย|57000|Thailand|(053) 715777||(053) 715801||0205498000012||HOTEL||030|96000|TRUE||||00001|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1536|บริษัท ดุสิตแมนเนจเม้นท์ จำกัด|390 หมู่1 ถนนศรีสุนทร||ตำบลเชิงทะเล|อำเภอถลาง|จังหวัดภูเก็ต|83110|Thailand|(076) 362999||(076) 362900||0105553152720||HOTEL||030|61000|FALSE||||00001|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1537|โรงแรม ดุสิตดีทู|100 ถนนช้างคลาน||ตำบลช้างคลาน|อำเภอเมืองเชียงใหม่|จังหวัดเชียงใหม่|50100|Thailand|(053) 999999||(053)999900||0105553152720||HOTEL||030|37000|FALSE||||00003|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1538|โรงแรมทินิดี ระนอง|41/144 ถนนท่าเมือง||ตำบลเขานิเวศน์|อำเภอเมืองระนอง|จังหวัดระนอง|85000|Thailand|077-835240-4||077-835238-9||0855534000085|เครดิตต่างจังหวัด / กทม|HOTEL||030|46000|FALSE|เคยเช็คคืน|||00001|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1540|โรงแรมดุสิตธานี|946 ถนนพระราม 4||แขวงสีลม|เขตบางรัก|กรุงเทพมหานคร|10500|Thailand|2380032-9||||0107536000617||HOTEL||030|230000|FALSE|เคยเช็คคืน|||00002|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1541|โรงแรมดุสิตปริ๊นเซส|112 ถนนช้างคลาน||ตำบลช้างคลาน|อำเภอเมืองเชียงใหม่|จังหวัดเชียงใหม่|50100|Thailand|053-253-900||053-281-044||0107552000065||HOTEL||030|31000|FALSE||||00002|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1542|โรงแรม ดุสิตปริ๊นเซส|53 ถนนศรีนครินทร์||แขวงหนองบอน|เขตประเวศ|กรุงเทพมหานคร|10250|Thailand|(02) 721-8400||||0107552000065|HORECA|HOTEL||030|150000|FALSE||||00003|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1583|บริษัท คาบุกิ (ประเทศไทย)จำกัด|39 ชั้น 1 ห้องจี 01 อาคาร 39 บูเลอวาร์ด|ถ.สุขุมวิทซอย 39(ซ.พร้อมมิตร)|แขวงคลองตันเหนือ|เขตวัฒนา|กรุงเทพมหานคร|10110|Thailand|02-1294423||||0105549050331|HORECA|HOTEL||030|41000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
1610|บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน)|1695 ถนนพหลโยธิน||แขวงจตุจักร|เขตจตุจักร|กรุงเทพมหานคร|10900|Thailand|02-541-1234||02-541-1085||0107536001389||HOTEL||030|50000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
3790|บริษัท นาโนฮานา จำกัด|323/1 ชั้น2ห้องบี1-บี3|ถนนสุขุมวิท55(ทองหล่อซ.15)|แขวงคลองตันเหนือ|เขตวัฒนา|กรุงเทพมหานคร|10110|Thailand||02-712-9462-3,Fax7129464|||0105541055686|HORECA|HOTEL||030|20000|FALSE|||161|00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
3791|บริษัท นาโนฮานา จำกัด|952 ชั้น 22 อาคารรามาแลนด์|ถนนพระรามสี่|แขวงสุริยวงศ์|เขตบางรัก|กรุงเทพมหานคร|10500|Thailand|083-7771059||||0105541055686|HORECA|HOTEL||030|19000|FALSE|||161|00002|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
3817|บริษัท ต้นเครื่อง (1991) จำกัด|211/3 ซอยสุขุมวิท 49 (กลาง) ถนนสุขุมวิท||แขวงคลองตันเหนือ|เขตวัฒนา|กรุงเทพมหานคร|10110|Thailand|02-1852340||||0105534124228|HORECA|HOTEL||030|150000|FALSE|เคยเช็คคืน #|||00001|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
3884|บริษัท มณียา เรียลตี้ จำกัด|518/8 อาคารรอยัลมณียาทาวเวอร์ ถนนเพลินจิต||แขวงลุมพินี|เขตปทุมวัน|กรุงเทพมหานคร|10330|Thailand|02-1255000||02-1255001||0105527006266|HORECA|HOTEL||030|185000|FALSE||||00002|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
3967|บริษัท นาราไทย คูซีน จำกัด|518/5 ชั้น 9 อาคารมณียาเซ็นเตอร์|ถนนเพลินจิต|แขวงลุมพินี|เขตปทุมวัน|กรุงเทพมหานคร|10330|Thailand||02-6520816,6711645(ยุ้ย)|02-6520815||0105547129223|HORECA|HOTEL||030|154000|FALSE|||210|00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
4095|โรงแรมดุสิตปริ๊นเซส|1137 ถนนสุรนารายณ์||ตำบลในเมือง|อำเภอเมืองนครราชสีมา|จังหวัดนครราชสีมา|30000|Thailand|044-256629-35||044-256601||0107552000065||HOTEL||030|50000|FALSE||||00004|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
4174|บริษัท โรงแรมเซ็นทรัลเวิลด์ จำกัด|999/99 ถนนพระราม 1||แขวงปทุมวัน|เขตปทุมวัน|กรุงเทพมหานคร|10330|Thailand|02-1001234||02-1006250||0105547030227||HOTEL||030|64000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
4178|บริษัท บางกอกคลับ จำกัด|175 อาคารสาธรซิตี้ทาวเวอร์ ชั้น 27/1|และชั้น 28/1 ถนนสาทรใต้|แขวงทุ่งมหาเมฆ|เขตสาทร|กรุงเทพมหานคร|10120|Thailand||02-6795550 ,02-6649999|02-2851998 (Fax.)||0105533012914|HORECA|HOTEL||030|30000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
4641|บริษัท ฮะกะคุเระ จำกัด|8/1 ซอยพาสนา 3||แขวงพระโขนงเหนือ|เขตวัฒนา|กรุงเทพมหานคร|10260|Thailand|||||0105555133200|HORECA|HOTEL||000|0|FALSE|ขายสด|||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
4689|โรงแรมดุสิตธานี|1349 ถนนเพชรเกษม||ตำบลชะอำ|อำเภอชะอำ|จังหวัดเพชรบุรี|76120|Thailand|032-442101-9||032-520296||0105553152720||HOTEL||030|80000|FALSE||||00002|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
4804|บริษัท แอล ฟู้ดโซลูชันส์ จำกัด|102 ถนน ณ ระนอง||แขวงคลองเตย|เขตคลองเตย|กรุงเทพมหานคร|10110|Thailand|02-3488824||||0105555067819||HOTEL|_|030|72000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
4805|บริษัท คาเซะ ทองหล่อ จำกัด|318 ถนนสุขุมวิท 55||แขวงคลองตันเหนือ|เขตวัฒนา|กรุงเทพมหานคร|10110|Thailand|087-7547966||||0105556181496|HORECA|HOTEL||030|12000|FALSE||||00000|114-3|กทม. HoReCa 3|100010|รินทร์ณฐา วรหิรัณยพงษ์|TRUE
