CustID|ShipToNum|ShipToName|ShipToAddress1|ShipToAddress2|ShipToAddress3|ShipToCity|ShipToProvince|ShipToPostalCode|ShipToCountry|ShipToPhone1|ShipToPhone2|ShipToFax1|ShipToFax2
1031||บริษัท โรงแรมราชดำริ จำกัด (มหาชน)|155 ถนนราชดำริ||แขวงลุมพินี|เขตปทุมวัน|กรุงเทพมหานคร|10330|Thailand|||02-253-9195|
1031|1|กรุงเทพฯ_อนันตราสยาม|(โรงแรมอนันตรา สยาม) 155 ถนนราชดำริ|แขวงลุมพินี||เขตปทุมวัน|กรุงเทพมหานคร|10330|Thailand||||
1521||วิทยาลัยดุสิตธานี|1 ซอยแก่นทอง ถนนศรีนครินทร์||แขวงหนองบอน|เขตประเวศ|กรุงเทพมหานคร|10250|Thailand|02-3617811-13 # 204|||
1522||วิทยาลัยดุสิตธานี|382/2 หมู่ 6 ถนนสุขุมวิท||ตำบลนาเกลือ|อำเภอบางละมุง|จังหวัดชลบุรี|20150|Thailand|038-488463-7|||
1535||บริษัท ไอส์แลนด์ รีสอร์ท โฮเต็ล จำกัด|1129 ถนนไกรสรสิทธิ์||ตำบลเวียง|อำเภอเมืองเชียงราย|จังหวัดเชียงราย|57000|Thailand|(053) 715777||(053) 715801|
1536||บริษัท ดุสิตแมนเนจเม้นท์ จำกัด|390 หมู่1 ถนนศรีสุนทร||ตำบลเชิงทะเล|อำเภอถลาง|จังหวัดภูเก็ต|83110|Thailand|(076) 362999||(076) 362900|
1536|1|ภูเก็ต1|โรงแรมดุสิตธานี ลากูน่า ภูเก็ต 390 หมู่1|ถนนศรีสุนทร|ตำบลเชิงทะเล|อำเภอถลาง|จังหวัดภูเก็ต|83110|Thailand|076-362999||076-362900|
1537||โรงแรม ดุสิตดีทู|100 ถนนช้างคลาน||ตำบลช้างคลาน|อำเภอเมืองเชียงใหม่|จังหวัดเชียงใหม่|50100|Thailand|(053) 999999||(053)999900|
1537|1|กรุงเทพฯ|โรงแรมดีทู เชียงใหม่|||อำเภอเมืองเชียงใหม่|จังหวัดเชียงใหม่||Thailand||||
1538||โรงแรมทินิดี ระนอง|41/144 ถนนท่าเมือง||ตำบลเขานิเวศน์|อำเภอเมืองระนอง|จังหวัดระนอง|85000|Thailand|077-835240-4||077-835238-9|
1540||โรงแรมดุสิตธานี|946 ถนนพระราม 4||แขวงสีลม|เขตบางรัก|กรุงเทพมหานคร|10500|Thailand|2380032-9|||
1541||โรงแรมดุสิตปริ๊นเซส|112 ถนนช้างคลาน||ตำบลช้างคลาน|อำเภอเมืองเชียงใหม่|จังหวัดเชียงใหม่|50100|Thailand|053-253-900||053-281-044|
1542||โรงแรม ดุสิตปริ๊นเซส|53 ถนนศรีนครินทร์||แขวงหนองบอน|เขตประเวศ|กรุงเทพมหานคร|10250|Thailand|(02) 721-8400|||
1583||บริษัท คาบุกิ (ประเทศไทย)จำกัด|39 ชั้น 1 ห้องจี 01 อาคาร 39 บูเลอวาร์ด|ถ.สุขุมวิทซอย 39(ซ.พร้อมมิตร)|แขวงคลองตันเหนือ|เขตวัฒนา|กรุงเทพมหานคร|10110|Thailand|02-1294423|||
